Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000014824,SLC30A9,2.15,4.59,1.10,1.97,5.33,1.43
ENSG00000014914,MTMR11,0.04,0.55,3.78,0.04,0.68,4.08
ENSG00000014919,COX15,2.70,11.58,2.10,2.40,14.03,2.55
ENSG00000015133,CCDC88C,12.60,0.82,-3.94,8.84,0.70,-3.66
ENSG00000015153,YAF2,0.66,2.36,1.84,1.65,2.04,0.31
ENSG00000015171,ZMYND11,8.65,2.36,-1.87,5.99,2.78,-1.11
ENSG00000015285,WAS,0.14,0.02,-2.49,0.09,0.03,-1.58
ENSG00000015413,DPEP1,2.60,2.21,-0.23,3.19,1.67,-0.93
ENSG00000015475,BID,0.23,0.43,0.91,0.36,0.38,0.07
ENSG00000015479,MATR3,0.03,0.50,4.06,0.24,0.46,0.94
ENSG00000015520,NPC1L1,0.00,0.31,Inf,0.00,0.38,Inf
ENSG00000015532,XYLT2,0.60,3.67,2.61,0.82,4.28,2.39
ENSG00000015568,RGPD5,0.00,0.00,NA,0.00,0.00,NA
ENSG00000015592,STMN4,0.00,0.00,NA,0.00,0.00,NA
ENSG00000015676,NUDCD3,2.12,3.83,0.85,1.51,4.72,1.64
ENSG00000016082,ISL1,14.56,1.64,-3.15,10.30,1.60,-2.68
ENSG00000016391,CHDH,0.07,1.13,4.12,0.04,1.42,5.03
ENSG00000016402,IL20RA,0.44,0.06,-2.92,0.38,0.01,-5.24
ENSG00000016490,CLCA1,0.00,0.04,Inf,0.01,0.05,2.83
ENSG00000016602,CLCA4,0.00,0.00,NA,0.00,0.00,NA
ENSG00000016864,GLT8D1,5.59,5.61,0.01,5.45,5.73,0.07
ENSG00000017260,ATP2C1,10.27,6.66,-0.62,9.04,6.69,-0.43
ENSG00000017427,IGF1,0.00,0.94,Inf,0.00,1.18,Inf
ENSG00000017483,SLC38A5,0.00,0.05,Inf,0.00,0.06,Inf
ENSG00000017797,RALBP1,41.48,20.94,-0.99,34.64,20.93,-0.73
ENSG00000018189,RUFY3,2.89,2.28,-0.34,2.39,2.51,0.07
ENSG00000018236,CNTN1,0.16,0.01,-3.69,0.12,0.00,-5.58
ENSG00000018280,SLC11A1,0.02,0.11,2.41,0.05,0.10,0.94
ENSG00000018408,WWTR1,0.08,12.13,7.34,0.60,14.76,4.63
ENSG00000018510,AGPS,3.46,3.19,-0.11,2.42,3.91,0.69
ENSG00000018610,CXorf56,22.09,17.90,-0.30,23.70,15.64,-0.60
ENSG00000018625,ATP1A2,0.31,0.00,-Inf,0.20,0.00,-Inf
ENSG00000018699,TTC27,0.12,19.58,7.35,7.48,18.93,1.34
ENSG00000018869,ZNF582,1.38,1.51,0.13,1.84,1.19,-0.62
ENSG00000019102,VSIG2,0.20,0.33,0.74,0.23,0.35,0.62
ENSG00000019144,PHLDB1,0.22,0.37,0.75,0.19,0.43,1.18
ENSG00000019169,MARCO,0.05,0.05,0.09,0.03,0.06,1.00
ENSG00000019186,CYP24A1,2.92,0.16,-4.17,2.13,0.06,-5.09
ENSG00000019485,PRDM11,0.05,0.58,3.69,0.03,0.73,4.60
ENSG00000019505,SYT13,0.32,1.14,1.85,0.21,1.42,2.73
ENSG00000019549,SNAI2,0.63,0.00,-Inf,0.42,0.00,-Inf
ENSG00000019582,CD74,0.01,0.60,6.90,0.10,0.68,2.75
ENSG00000019991,HGF,0.15,0.00,-Inf,0.10,0.00,-Inf
ENSG00000019995,ZRANB1,7.35,4.56,-0.69,10.79,1.28,-3.08
ENSG00000020129,NCDN,0.95,3.67,1.95,0.90,4.38,2.28
ENSG00000020181,ADGRA2,0.03,0.04,0.60,0.02,0.05,1.51
ENSG00000020256,ZFP64,1.97,4.34,1.14,1.41,5.35,1.93
ENSG00000020426,MNAT1,6.63,7.41,0.16,4.73,9.04,0.93
ENSG00000020577,SAMD4A,10.82,0.17,-6.03,7.38,0.09,-6.44
ENSG00000020633,RUNX3,0.04,0.06,0.63,0.06,0.06,-0.04
ENSG00000020922,MRE11,27.27,4.01,-2.77,18.88,4.48,-2.08
ENSG00000021300,PLEKHB1,10.73,1.85,-2.54,8.59,1.23,-2.80
ENSG00000021355,SERPINB1,0.28,6.18,4.49,0.18,7.73,5.40
ENSG00000021461,CYP3A43,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000021488,SLC7A9,15.24,0.84,-4.19,11.49,0.05,-8.00
ENSG00000021574,SPAST,4.10,3.14,-0.38,3.29,3.51,0.09
ENSG00000021645,NRXN3,1.33,0.11,-3.65,0.92,0.11,-3.14
ENSG00000021762,OSBPL5,1.98,0.10,-4.36,1.38,0.08,-4.20
ENSG00000021776,AQR,5.64,7.52,0.42,5.92,7.78,0.39
ENSG00000021826,CPS1,5.48,0.41,-3.75,4.31,0.02,-7.75
ENSG00000021852,C8B,0.00,0.00,NA,0.00,0.00,NA
ENSG00000022267,FHL1,0.13,0.26,1.02,0.39,0.10,-1.98
ENSG00000022277,RTFDC1,15.35,28.55,0.90,18.68,29.35,0.65
ENSG00000022355,GABRA1,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000022556,NLRP2,166.56,197.83,0.25,120.13,240.47,1.00
ENSG00000022567,SLC45A4,0.36,1.27,1.84,0.54,1.36,1.33
ENSG00000022840,RNF10,105.93,24.95,-2.09,78.53,25.25,-1.64
ENSG00000022976,ZNF839,1.18,0.74,-0.67,0.91,0.83,-0.13
ENSG00000023041,ZDHHC6,2.53,13.66,2.44,2.60,16.38,2.65
ENSG00000023171,GRAMD1B,0.02,0.56,5.23,0.53,0.31,-0.78
ENSG00000023191,RNH1,3.25,17.02,2.39,3.51,20.27,2.53
ENSG00000023228,NDUFS1,1.70,9.26,2.45,1.96,10.96,2.48
ENSG00000023287,RB1CC1,9.84,40.53,2.04,45.98,21.10,-1.12
ENSG00000023318,ERP44,19.65,18.87,-0.06,14.61,22.46,0.62
ENSG00000023330,ALAS1,168.00,53.17,-1.66,115.30,63.99,-0.85
ENSG00000023445,BIRC3,0.40,0.17,-1.27,0.33,0.16,-1.01
ENSG00000023516,AKAP11,29.38,2.34,-3.65,21.99,1.12,-4.30
ENSG00000023572,GLRX2,4.60,16.32,1.83,5.06,18.90,1.90
ENSG00000023608,SNAPC1,13.01,7.94,-0.71,13.63,6.22,-1.13
ENSG00000023697,DERA,14.48,18.01,0.31,10.74,21.70,1.01
ENSG00000023734,STRAP,99.64,174.37,0.81,124.35,174.52,0.49
ENSG00000023839,ABCC2,0.05,1.34,4.90,0.12,1.61,3.74
ENSG00000023892,DEF6,0.04,1.85,5.53,1.98,0.85,-1.23
ENSG00000023902,PLEKHO1,3.84,0.88,-2.12,2.82,0.90,-1.65
ENSG00000023909,GCLM,6.65,4.99,-0.41,4.61,6.11,0.41
ENSG00000024048,UBR2,13.72,5.88,-1.22,9.69,6.94,-0.48
ENSG00000024422,EHD2,0.13,0.25,1.02,0.08,0.32,1.93
ENSG00000024526,DEPDC1,0.08,2.67,5.06,0.21,3.23,3.97
ENSG00000024862,CCDC28A,15.69,17.67,0.17,14.49,19.06,0.40
ENSG00000025039,RRAGD,0.00,0.15,Inf,0.08,0.14,0.82
ENSG00000025156,HSF2,0.43,6.31,3.88,1.25,7.16,2.51
ENSG00000025293,PHF20,9.45,5.82,-0.70,8.88,5.34,-0.73
ENSG00000025423,HSD17B6,0.38,1.55,2.03,0.30,1.91,2.68
ENSG00000025434,NR1H3,0.92,3.81,2.05,0.64,4.74,2.90
ENSG00000025708,TYMP,0.01,0.16,4.98,0.05,0.17,1.82
ENSG00000025770,NCAPH2,1.49,26.85,4.18,4.95,30.60,2.63
ENSG00000025772,TOMM34,55.78,26.96,-1.05,39.54,31.93,-0.31
ENSG00000025796,SEC63,4.52,13.97,1.63,7.81,13.86,0.83
ENSG00000025800,KPNA6,24.44,35.77,0.55,37.84,28.55,-0.41
ENSG00000026025,VIM,0.24,0.41,0.76,0.33,0.38,0.18
ENSG00000026036,RTEL1-TNFRSF6B,0.02,0.05,1.74,0.03,0.05,0.91
ENSG00000026103,FAS,0.00,0.04,Inf,0.00,0.05,Inf
ENSG00000026297,RNASET2,1.97,2.08,0.08,1.67,2.33,0.48
ENSG00000026508,CD44,0.03,1.06,5.40,0.02,1.32,6.31
ENSG00000026559,KCNG1,0.02,0.11,2.87,0.01,0.14,3.78
ENSG00000026652,AGPAT4,4.77,0.56,-3.10,3.45,0.50,-2.80
ENSG00000026751,SLAMF7,0.00,0.01,Inf,0.00,0.02,Inf
ENSG00000026950,BTN3A1,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000027001,MIPEP,6.21,9.36,0.59,4.37,11.53,1.40
ENSG00000027075,PRKCH,1.18,0.50,-1.24,0.85,0.57,-0.56
ENSG00000027644,INSRR,0.00,0.01,Inf,0.00,0.02,Inf
ENSG00000027697,IFNGR1,0.96,17.08,4.16,3.07,19.52,2.67
ENSG00000027847,B4GALT7,0.30,3.30,3.48,0.29,4.06,3.82
ENSG00000027869,SH2D2A,0.00,0.14,Inf,0.00,0.18,Inf
ENSG00000028116,VRK2,4.36,9.97,1.19,3.65,11.90,1.70
ENSG00000028137,TNFRSF1B,5.01,0.28,-4.15,3.51,0.23,-3.96
ENSG00000028203,VEZT,0.58,4.58,2.98,1.44,4.93,1.78
ENSG00000028277,POU2F2,0.46,0.23,-1.01,0.33,0.27,-0.30
ENSG00000028310,BRD9,0.86,3.50,2.03,1.16,3.93,1.76
ENSG00000028528,SNX1,6.08,2.92,-1.06,4.71,3.16,-0.57
ENSG00000028839,TBPL1,45.32,40.62,-0.16,68.49,22.06,-1.63
ENSG00000029153,ARNTL2,0.63,0.51,-0.30,0.47,0.59,0.32
ENSG00000029363,BCLAF1,13.46,12.71,-0.08,17.56,9.45,-0.89
ENSG00000029364,SLC39A9,0.53,8.51,4.02,4.15,7.79,0.91
ENSG00000029534,ANK1,0.35,0.38,0.15,0.23,0.48,1.06
ENSG00000029559,IBSP,0.00,0.05,Inf,0.00,0.06,Inf
ENSG00000029639,TFB1M,5.61,17.40,1.63,9.27,17.60,0.92
ENSG00000029725,RABEP1,11.77,14.52,0.30,13.90,13.61,-0.03
ENSG00000029993,HMGB3,76.81,87.22,0.18,73.76,92.11,0.32
ENSG00000030066,NUP160,7.74,13.36,0.79,7.88,14.67,0.90
ENSG00000030110,BAK1,0.82,72.46,6.47,11.21,82.57,2.88
ENSG00000030304,MUSK,0.07,0.01,-3.54,0.05,0.01,-2.64
ENSG00000030419,IKZF2,0.08,0.04,-1.07,0.07,0.04,-1.00
ENSG00000030582,GRN,11.62,65.60,2.50,18.18,74.17,2.03
ENSG00000031003,FAM13B,2.90,4.26,0.56,6.17,2.15,-1.52
ENSG00000031081,ARHGAP31,0.00,0.09,Inf,0.01,0.11,3.39
ENSG00000031691,CENPQ,28.47,17.92,-0.67,24.43,18.31,-0.42
ENSG00000031698,SARS,14.47,62.55,2.11,20.60,69.97,1.76
ENSG00000031823,RANBP3,2.32,7.60,1.71,2.36,8.89,1.91
ENSG00000032219,ARID4A,37.18,5.66,-2.72,30.19,3.02,-3.32
ENSG00000032389,TSSC1,14.79,5.65,-1.39,10.66,6.47,-0.72
ENSG00000032444,PNPLA6,0.35,3.36,3.28,0.27,4.17,3.95
ENSG00000032742,IFT88,1.83,1.65,-0.15,1.78,1.65,-0.11
ENSG00000033011,ALG1,0.13,5.48,5.45,0.65,6.42,3.30
ENSG00000033030,ZCCHC8,5.61,8.90,0.67,5.96,9.46,0.67
ENSG00000033050,ABCF2,14.47,80.31,2.47,68.13,56.53,-0.27
ENSG00000033100,CHPF2,0.20,1.01,2.33,0.19,1.22,2.65
ENSG00000033122,LRRC7,2.98,0.08,-5.22,2.06,0.04,-5.60
ENSG00000033170,FUT8,18.40,4.85,-1.92,13.80,4.92,-1.49
ENSG00000033178,UBA6,7.03,4.66,-0.59,5.07,5.54,0.13
ENSG00000033327,GAB2,23.98,3.72,-2.69,16.74,4.08,-2.04
ENSG00000033627,ATP6V0A1,0.45,2.48,2.48,0.41,3.02,2.88
ENSG00000033800,PIAS1,53.08,10.54,-2.33,44.11,6.64,-2.73
ENSG00000033867,SLC4A7,80.25,3.15,-4.67,57.64,0.83,-6.12
ENSG00000034053,APBA2,2.33,0.32,-2.86,1.77,0.24,-2.91
ENSG00000034152,MAP2K3,6.32,4.61,-0.46,4.88,5.26,0.11
ENSG00000034239,EFCAB1,0.00,0.02,Inf,0.02,0.01,-2.00
ENSG00000034510,TMSB10,1.19,1281.86,10.08,13.97,1592.45,6.83
ENSG00000034533,ASTE1,1.52,3.62,1.26,2.03,3.75,0.88
ENSG00000034677,RNF19A,6.17,3.04,-1.02,4.86,3.24,-0.59
ENSG00000034693,PEX3,13.44,19.18,0.51,10.85,22.56,1.06
ENSG00000034713,GABARAPL2,27.44,54.58,0.99,45.27,47.99,0.08
ENSG00000034971,MYOC,1.61,0.12,-3.75,1.27,0.00,-Inf
ENSG00000035115,SH3YL1,0.74,0.27,-1.43,0.52,0.32,-0.71
ENSG00000035141,FAM136A,20.59,71.88,1.80,16.66,87.65,2.40
ENSG00000035403,VCL,3.20,7.75,1.28,2.91,9.10,1.65
ENSG00000035499,DEPDC1B,13.36,13.55,0.02,16.06,11.58,-0.47
ENSG00000035664,DAPK2,0.25,0.03,-3.13,0.17,0.03,-2.36
ENSG00000035681,NSMAF,0.03,9.67,8.60,0.92,11.41,3.63
ENSG00000035687,ADSS,2.29,10.78,2.24,4.42,11.31,1.36
ENSG00000035720,STAP1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000035862,TIMP2,5.92,0.59,-3.34,4.48,0.33,-3.75
ENSG00000035928,RFC1,20.03,16.19,-0.31,24.88,11.59,-1.10
ENSG00000036054,TBC1D23,56.84,39.01,-0.54,48.39,40.89,-0.24
ENSG00000036257,CUL3,2.68,4.85,0.86,5.70,3.12,-0.87
ENSG00000036448,MYOM2,0.87,0.27,-1.66,0.62,0.31,-1.02
ENSG00000036473,OTC,0.01,0.01,-0.74,0.02,0.00,-Inf
ENSG00000036530,CYP46A1,0.09,0.01,-3.49,0.07,0.01,-3.74
ENSG00000036549,ZZZ3,2.04,9.51,2.22,10.18,5.28,-0.95
ENSG00000036565,SLC18A1,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000036672,USP2,119.24,3.88,-4.94,82.82,2.36,-5.13
ENSG00000036828,CASR,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000037042,TUBG2,39.82,2.98,-3.74,27.61,2.93,-3.24
ENSG00000037241,RPL26L1,96.30,70.24,-0.46,110.91,52.77,-1.07
ENSG00000037280,FLT4,0.04,0.28,3.02,0.03,0.35,3.72
ENSG00000037474,NSUN2,3.53,23.45,2.73,4.10,28.00,2.77
ENSG00000037637,FBXO42,1.38,2.07,0.59,1.22,2.37,0.96
ENSG00000037749,MFAP3,1.24,6.31,2.35,6.04,3.97,-0.61
ENSG00000037757,MRI1,0.04,2.16,5.94,0.04,2.69,6.19
ENSG00000037897,METTL1,2.98,31.87,3.42,8.77,34.75,1.99
ENSG00000037965,HOXC8,0.07,0.00,-5.02,0.04,0.00,-4.12
ENSG00000038002,AGA,0.74,1.86,1.33,0.57,2.27,1.99
ENSG00000038210,PI4K2B,3.35,1.66,-1.01,2.68,1.74,-0.63
ENSG00000038219,BOD1L1,10.98,4.65,-1.24,10.23,3.63,-1.50
ENSG00000038274,MAT2B,18.84,12.51,-0.59,14.16,14.44,0.03
ENSG00000038295,TLL1,1.67,0.02,-6.38,1.14,0.00,-8.83
ENSG00000038358,EDC4,1.62,3.33,1.04,1.26,4.03,1.68
ENSG00000038382,TRIO,11.68,1.10,-3.41,8.89,0.54,-4.04
ENSG00000038427,VCAN,0.08,5.68,6.24,0.10,7.06,6.19
ENSG00000038532,CLEC16A,2.46,2.56,0.06,2.15,2.82,0.39
ENSG00000038945,MSR1,5.00,0.58,-3.11,4.20,0.08,-5.81
ENSG00000039068,CDH1,17.64,36.01,1.03,12.95,44.12,1.77
ENSG00000039123,SKIV2L2,2.92,11.62,2.00,5.11,12.15,1.25
ENSG00000039139,DNAH5,0.43,0.06,-2.94,0.36,0.02,-4.58
ENSG00000039319,ZFYVE16,1.08,1.43,0.41,1.06,1.54,0.54
ENSG00000039523,FAM65A,0.00,0.07,Inf,0.02,0.08,2.17
ENSG00000039537,C6,0.00,0.00,NA,0.00,0.00,NA
ENSG00000039560,RAI14,27.48,4.13,-2.73,19.14,4.55,-2.07
ENSG00000039600,SOX30,16.51,0.57,-4.87,11.32,0.47,-4.59
ENSG00000039650,PNKP,0.55,2.58,2.25,0.58,3.07,2.41
ENSG00000039987,BEST2,0.00,0.04,Inf,0.04,0.01,-1.79
ENSG00000040199,PHLPP2,0.19,1.51,3.03,0.88,1.32,0.59
ENSG00000040275,SPDL1,89.26,18.79,-2.25,70.65,15.13,-2.22
ENSG00000040341,STAU2,7.60,2.34,-1.70,5.48,2.62,-1.07
ENSG00000040487,PQLC2,3.02,5.31,0.81,2.14,6.55,1.61
ENSG00000040531,CTNS,16.92,17.35,0.04,13.73,19.85,0.53
ENSG00000040608,RTN4R,4.78,0.70,-2.77,3.71,0.48,-2.96
ENSG00000040633,PHF23,7.87,27.42,1.80,26.87,18.06,-0.57
ENSG00000040731,CDH10,0.02,0.43,4.83,0.57,0.12,-2.31
ENSG00000040933,INPP4A,1.67,0.83,-1.00,1.19,0.99,-0.27
ENSG00000041353,RAB27B,2.75,0.24,-3.53,2.21,0.01,-7.47
ENSG00000041357,PSMA4,23.59,48.89,1.05,17.44,59.83,1.78
ENSG00000041515,MYO16,2.27,0.23,-3.32,1.62,0.21,-2.96
ENSG00000041802,LSG1,0.85,27.33,5.01,20.00,19.59,-0.03
ENSG00000041880,PARP3,0.05,0.12,1.31,0.03,0.16,2.22
ENSG00000041982,TNC,0.03,0.00,-3.91,0.02,0.00,-3.00
ENSG00000041988,THAP3,0.01,3.31,8.37,0.23,3.96,4.09
ENSG00000042062,FAM65C,13.66,0.11,-6.96,9.13,0.12,-6.28
ENSG00000042088,TDP1,35.29,7.00,-2.33,25.62,7.18,-1.84
ENSG00000042286,AIFM2,0.59,2.66,2.17,0.61,3.16,2.37
ENSG00000042304,C2orf83,0.08,0.01,-3.64,0.05,0.01,-2.74
ENSG00000042317,SPATA7,6.26,1.66,-1.91,5.16,1.34,-1.94
ENSG00000042429,MED17,0.29,4.95,4.09,3.30,3.87,0.23
ENSG00000042445,RETSAT,1.00,3.52,1.82,2.85,2.76,-0.05
ENSG00000042493,CAPG,0.05,20.54,8.68,0.10,25.63,8.05
ENSG00000042753,AP2S1,6.59,167.63,4.67,14.94,201.63,3.75
ENSG00000042781,USH2A,1.30,0.04,-4.88,0.91,0.02,-5.71
ENSG00000042813,ZPBP,0.06,0.17,1.50,0.07,0.19,1.35
ENSG00000042832,TG,0.06,0.06,0.05,0.06,0.06,0.06
ENSG00000042980,ADAM28,0.37,0.06,-2.60,0.31,0.03,-3.48
ENSG00000043039,BARX2,21.71,0.45,-5.59,14.75,0.36,-5.37
ENSG00000043093,DCUN1D1,5.62,4.29,-0.39,4.62,4.70,0.03
ENSG00000043143,JADE2,0.12,1.62,3.75,0.09,2.01,4.43
ENSG00000043355,ZIC2,0.24,1.11,2.21,0.29,1.29,2.13
ENSG00000043462,LCP2,0.69,0.00,-7.43,0.46,0.00,-7.53
ENSG00000043514,TRIT1,13.96,13.46,-0.05,12.29,14.59,0.25
ENSG00000043591,ADRB1,0.03,0.01,-2.06,0.02,0.01,-1.15
ENSG00000044012,GUCA2B,0.00,0.01,Inf,0.00,0.02,Inf
ENSG00000044090,CUL7,0.14,0.54,1.95,0.23,0.57,1.29
ENSG00000044115,CTNNA1,31.49,29.16,-0.11,28.51,30.81,0.11
ENSG00000044446,PHKA2,2.18,2.70,0.31,1.99,2.97,0.58
ENSG00000044459,CNTLN,2.87,0.91,-1.65,2.55,0.66,-1.95
ENSG00000044524,EPHA3,0.00,0.01,Inf,0.00,0.02,Inf
ENSG00000044574,HSPA5,45.29,181.19,2.00,122.51,157.25,0.36
ENSG00000046604,DSG2,1.71,12.07,2.82,2.01,14.44,2.84
ENSG00000046647,GEMIN8,9.06,6.63,-0.45,6.73,7.77,0.21
ENSG00000046651,OFD1,181.69,14.88,-3.61,128.75,12.88,-3.32
ENSG00000046653,GPM6B,12.98,2.39,-2.44,9.94,2.01,-2.30
ENSG00000046774,MAGEC2,0.07,1.33,4.25,0.46,1.35,1.55
ENSG00000046889,PREX2,0.06,0.04,-0.51,0.04,0.05,0.39
ENSG00000047056,WDR37,13.90,2.44,-2.51,10.87,1.84,-2.56
ENSG00000047188,YTHDC2,1.67,1.55,-0.11,1.15,1.91,0.73
ENSG00000047230,CTPS2,0.57,0.35,-0.70,0.43,0.40,-0.10
ENSG00000047249,ATP6V1H,8.56,11.84,0.47,7.14,13.72,0.94
ENSG00000047315,POLR2B,1.03,23.21,4.50,8.30,23.30,1.49
ENSG00000047346,FAM214A,29.49,5.14,-2.52,24.55,2.75,-3.16
ENSG00000047365,ARAP2,2.67,0.32,-3.04,2.24,0.06,-5.29
ENSG00000047410,TPR,12.76,10.35,-0.30,9.27,12.37,0.42
ENSG00000047457,CP,0.00,0.07,Inf,0.00,0.08,Inf
ENSG00000047578,KIAA0556,0.97,0.94,-0.05,0.95,0.94,-0.01
ENSG00000047579,DTNBP1,21.21,3.58,-2.57,15.51,3.45,-2.17
ENSG00000047597,XK,0.07,0.05,-0.32,0.09,0.03,-1.42
ENSG00000047617,ANO2,0.06,0.05,-0.20,0.06,0.04,-0.66
ENSG00000047621,C12orf4,14.57,5.20,-1.49,11.22,5.37,-1.06
ENSG00000047634,SCML1,19.44,1.15,-4.07,13.74,0.86,-4.01
ENSG00000047644,WWC3,15.90,1.00,-4.00,10.91,1.01,-3.43
ENSG00000047648,ARHGAP6,1.75,0.18,-3.30,1.38,0.06,-4.46
ENSG00000047662,FAM184B,1.60,0.10,-3.97,1.12,0.08,-3.77
ENSG00000047849,MAP4,5.61,15.75,1.49,6.50,17.62,1.44
ENSG00000047932,GOPC,20.52,7.25,-1.50,15.60,7.62,-1.03
ENSG00000047936,ROS1,9.36,0.31,-4.92,6.72,0.03,-8.07
ENSG00000048028,USP28,0.85,20.69,4.61,1.10,25.47,4.54
ENSG00000048052,HDAC9,26.17,1.26,-4.37,19.43,0.09,-7.75
ENSG00000048140,TSPAN17,0.16,1.85,3.58,0.41,2.08,2.34
ENSG00000048162,NOP16,3.34,103.19,4.95,17.44,117.58,2.75
ENSG00000048342,CC2D2A,0.04,0.35,3.15,0.07,0.41,2.55
ENSG00000048392,RRM2B,8.72,4.07,-1.10,7.84,3.56,-1.14
ENSG00000048405,ZNF800,0.77,3.01,1.98,1.00,3.40,1.77
ENSG00000048462,TNFRSF17,0.69,0.05,-3.72,0.46,0.07,-2.81
ENSG00000048471,SNX29,4.28,1.04,-2.04,3.28,0.97,-1.76
ENSG00000048540,LMO3,2.29,0.04,-5.77,1.57,0.02,-6.29
ENSG00000048544,MRPS10,25.19,25.59,0.02,21.65,28.34,0.39
ENSG00000048545,GUCA1A,0.10,4.34,5.44,0.15,5.36,5.16
ENSG00000048649,RSF1,6.02,3.18,-0.92,5.91,2.54,-1.22
ENSG00000048707,VPS13D,1.95,1.06,-0.88,1.46,1.20,-0.29
ENSG00000048740,CELF2,6.11,0.40,-3.95,4.28,0.34,-3.64
ENSG00000048828,FAM120A,5.24,6.45,0.30,4.55,7.26,0.67
ENSG00000048991,R3HDM1,6.23,4.14,-0.59,6.13,3.70,-0.73
ENSG00000049089,COL9A2,0.01,0.13,3.68,0.19,0.02,-3.08
ENSG00000049130,KITLG,0.02,10.90,9.51,14.56,2.72,-2.42
ENSG00000049167,ERCC8,1.03,3.00,1.55,1.88,2.86,0.61
ENSG00000049192,ADAMTS6,0.02,0.14,2.83,0.05,0.15,1.58
ENSG00000049239,H6PD,0.63,0.07,-3.25,0.48,0.04,-3.57
ENSG00000049245,VAMP3,38.63,37.85,-0.03,36.05,39.59,0.14
ENSG00000049246,PER3,3.67,1.43,-1.36,2.64,1.64,-0.68
ENSG00000049247,UTS2,0.04,0.20,2.32,0.26,0.08,-1.73
ENSG00000049249,TNFRSF9,0.01,0.05,2.26,0.02,0.05,1.32
ENSG00000049283,EPN3,0.03,0.02,-0.58,0.02,0.03,0.32
ENSG00000049323,LTBP1,5.40,0.83,-2.69,3.98,0.76,-2.40
ENSG00000049449,RCN1,0.01,7.05,9.46,0.07,8.76,6.90
ENSG00000049540,ELN,0.03,0.03,0.36,0.02,0.04,1.26
ENSG00000049541,RFC2,3.59,47.55,3.73,11.02,52.96,2.27
ENSG00000049618,ARID1B,0.63,0.73,0.22,0.46,0.88,0.93
ENSG00000049656,CLPTM1L,23.37,15.51,-0.59,23.09,13.76,-0.75
ENSG00000049759,NEDD4L,4.67,1.24,-1.91,3.18,1.50,-1.08
ENSG00000049768,FOXP3,0.12,0.05,-1.38,0.08,0.06,-0.48
ENSG00000049769,PPP1R3F,1.19,0.16,-2.87,1.00,0.05,-4.39
ENSG00000049860,HEXB,15.03,10.07,-0.58,11.05,11.82,0.10
ENSG00000049883,PTCD2,0.31,1.54,2.31,0.41,1.77,2.10
ENSG00000050030,KIAA2022,0.00,0.06,Inf,0.00,0.08,Inf
ENSG00000050130,JKAMP,0.33,18.25,5.81,9.01,16.22,0.85
ENSG00000050165,DKK3,0.03,0.32,3.69,0.18,0.28,0.64
ENSG00000050327,ARHGEF5,0.01,0.12,4.61,0.00,0.15,5.52
ENSG00000050344,NFE2L3,2.13,11.06,2.38,3.15,12.53,1.99
ENSG00000050393,MCUR1,2.76,9.28,1.75,2.09,11.40,2.45
ENSG00000050405,LIMA1,243.35,13.76,-4.14,167.45,13.28,-3.66
ENSG00000050426,LETMD1,4.82,4.40,-0.13,4.09,4.85,0.25
ENSG00000050438,SLC4A8,0.14,1.74,3.69,0.15,2.13,3.86
ENSG00000050555,LAMC3,0.15,0.43,1.58,0.12,0.52,2.08
ENSG00000050628,PTGER3,0.00,0.07,Inf,0.10,0.01,-3.37
ENSG00000050730,TNIP3,0.00,1.67,Inf,0.01,2.09,8.29
ENSG00000050748,MAPK9,2.10,1.87,-0.16,1.67,2.13,0.35
ENSG00000050767,COL23A1,2.02,1.66,-0.29,1.55,1.92,0.31
ENSG00000050820,BCAR1,1.40,1.89,0.44,1.08,2.25,1.05
ENSG00000051009,FAM160A2,5.12,3.22,-0.67,3.85,3.70,-0.06
ENSG00000051108,HERPUD1,5.20,13.36,1.36,5.07,15.50,1.61
ENSG00000051128,HOMER3,0.15,0.93,2.63,0.42,0.92,1.11
ENSG00000051180,RAD51,5.23,65.90,3.66,14.03,74.47,2.41
ENSG00000051341,POLQ,2.19,2.56,0.23,3.07,1.99,-0.63
ENSG00000051382,PIK3CB,1.02,5.73,2.50,2.33,5.92,1.34
ENSG00000051523,CYBA,0.02,0.88,5.88,0.01,1.10,6.78
ENSG00000051596,THOC3,6.77,4.88,-0.47,6.64,4.51,-0.56
ENSG00000051620,HEBP2,0.08,1.63,4.44,0.20,1.93,3.24
ENSG00000051825,MPHOSPH9,1.42,2.02,0.51,1.71,1.96,0.20
ENSG00000052126,PLEKHA5,7.26,6.36,-0.19,7.09,6.26,-0.18
ENSG00000052344,PRSS8,0.05,22.39,8.96,0.04,27.98,9.45
ENSG00000052723,SIKE1,12.25,24.50,1.00,15.95,24.78,0.64
ENSG00000052749,RRP12,2.87,16.16,2.50,7.20,16.23,1.17
ENSG00000052795,FNIP2,25.99,3.85,-2.76,18.21,4.15,-2.13
